invoice_id,line_number,description,quantity,unit_price,line_total
INV000001,1,Audit Services,8,10335.0,82680.01
INV000002,1,Conference Table,14,1591.59,22282.31
INV000003,1,Office Chairs,134,15.0,2010.01
INV000004,1,HVAC Servicing,6,6200.57,37203.44
INV000005,1,Conference Table,18,2979.02,53622.29
INV000006,1,Server Hardware,4,13796.92,55187.66
INV000007,1,Freight Charges,18,1155.58,20800.45
INV000008,1,Microsoft 365 License,45,1498.54,67434.24
INV000009,1,Hydraulic Pumps,390,280.55,109412.9
INV000010,1,Machine Spare Parts,481,232.75,111953.55
INV000011,1,Office Desk,16,1089.64,17434.21
INV000012,1,Transportation Charges,39,525.97,20512.92
INV000013,1,Office Desk,10,1380.72,13807.16
INV000014,1,Cloud Subscription,41,1677.85,68791.7
INV000015,1,Hydraulic Pumps,157,1329.25,208691.73
INV000016,1,Electrical Repairs,35,480.6,16821.0
INV000017,1,Database License,35,1432.73,50145.7
INV000018,1,Freight Charges,15,2911.04,43665.6
INV000019,1,Microsoft 365 License,5,12329.8,61649.0
INV000020,1,Audit Services,9,2070.34,18633.07
INV000021,1,Technical Consulting,28,4000.17,112004.73
INV000022,1,Office Sofa,7,4407.83,30854.79
INV000023,1,Generator Servicing,36,210.6,7581.59
INV000024,1,Pens and Stationery,122,29.11,3551.07
INV000025,1,Hydraulic Pumps,456,116.75,53238.75
INV000026,1,Audit Services,21,3373.81,70849.98
INV000027,1,Firewall License,5,8724.25,43621.23
INV000028,1,Storage Cabinet,3,6194.69,18584.07
INV000029,1,Office Desk,10,1816.29,18162.91
INV000030,1,Technical Consulting,17,3804.78,64681.18
INV000031,1,Office Desk,17,1657.84,28183.3
INV000032,1,Cloud Subscription,19,1139.04,21641.73
INV000033,1,Steel Components,316,234.96,74246.88
INV000034,1,Transportation Charges,1,24513.76,24513.76
INV000035,1,Printer Toner,113,42.48,4800.02
INV000036,1,Cloud Subscription,48,1104.95,53037.47
INV000037,1,Industrial Bearings,442,107.27,47412.68
INV000038,1,Audit Services,30,3465.4,103962.01
INV000039,1,Training Services,18,3739.6,67312.84
INV000040,1,HVAC Servicing,7,2681.56,18770.89
INV000041,1,ERP Subscription,3,5421.7,16265.1
INV000042,1,HVAC Servicing,21,851.53,17882.16
INV000043,1,Audit Services,9,3816.77,34350.95
INV000044,1,Assembly Materials,207,290.74,60183.2
INV000045,1,Transportation Charges,6,3656.47,21938.84
INV000046,1,Technical Consulting,3,36877.5,110632.51
INV000047,1,Steel Components,224,275.3,61667.64
INV000048,1,Courier Services,36,556.3,20026.88
INV000049,1,Assembly Materials,380,133.04,50553.52
INV000050,1,HVAC Servicing,50,420.44,21022.24
INV000051,1,Freight Charges,35,467.99,16379.78
INV000052,1,Network Switch,9,4838.6,43547.41
INV000053,1,Firewall License,1,41573.92,41573.92
INV000054,1,Firewall License,32,1106.71,35414.65
INV000055,1,Dell Laptop,10,5173.74,51737.45
INV000056,1,Server Hardware,6,19177.16,115062.96
INV000057,1,Machine Maintenance,48,160.38,7698.4
INV000058,1,Printer Paper,59,78.8,4649.49
INV000059,1,Network Switch,10,2754.22,27542.2
INV000060,1,Generator Servicing,46,362.49,16674.54
INV000061,1,Transportation Charges,35,608.87,21310.6
INV000062,1,Network Switch,7,5051.7,35361.9
INV000063,1,Training Services,28,3045.0,85260.03
INV000064,1,Transportation Charges,40,412.68,16507.24
INV000065,1,Generator Servicing,17,315.62,5365.58
INV000066,1,Assembly Materials,488,144.23,70383.04
INV000067,1,Pens and Stationery,82,52.47,4302.78
INV000068,1,Conference Table,15,1465.51,21982.62
INV000069,1,Whiteboard Supplies,75,82.11,6157.97
INV000070,1,Audit Services,24,2349.31,56383.48
INV000071,1,Whiteboard Supplies,145,29.99,4348.14
INV000072,1,Printer Paper,84,35.86,3012.59
INV000073,1,Office Desk,5,10841.85,54209.26
INV000074,1,Warehouse Rental,34,528.27,17961.08
INV000075,1,Audit Services,14,3537.14,49519.91
INV000076,1,Conference Table,20,3437.45,68749.08
INV000077,1,Legal Advisory,41,1361.06,55803.28
INV000078,1,Printer Toner,56,91.98,5150.71
INV000079,1,Courier Services,26,1003.4,26088.46
INV000080,1,Storage Cabinet,3,8052.55,24157.64
INV000081,1,Electrical Repairs,12,1105.86,13270.35
INV000082,1,Courier Services,7,2057.34,14401.36
INV000083,1,Generator Servicing,6,3373.75,20242.53
INV000084,1,Keyboard and Mouse,1,89339.34,89339.34
INV000085,1,Microsoft 365 License,29,1094.19,31731.42
INV000086,1,Office Chairs,23,101.91,2343.86
INV000087,1,27 Inch Monitor,5,24644.91,123224.55
INV000088,1,Transportation Charges,13,3337.14,43382.83
INV000089,1,Courier Services,1,9051.08,9051.08
INV000090,1,Legal Advisory,21,5315.07,111616.52
INV000091,1,Network Switch,3,105750.61,317251.84
INV000092,1,Office Sofa,15,2114.47,31717.08
INV000093,1,HVAC Servicing,45,450.24,20261.02
INV000094,1,Freight Charges,5,4927.09,24635.46
INV000095,1,Generator Servicing,11,3038.26,33420.81
INV000096,1,Machine Maintenance,16,810.27,12964.28
INV000097,1,Storage Cabinet,19,1609.09,30572.69
INV000098,1,Warehouse Rental,35,1087.62,38066.72
INV000099,1,Machine Spare Parts,347,180.19,62526.3
INV000100,1,Technical Consulting,43,458.81,19728.68
INV000101,1,Steel Components,197,460.41,90700.52
INV000102,1,Warehouse Rental,9,5638.01,50742.08
INV000103,1,Industrial Bearings,356,69.53,24753.26
INV000104,1,27 Inch Monitor,3,23595.49,70786.46
INV000105,1,Storage Cabinet,18,1444.02,25992.3
INV000106,1,Audit Services,2,13336.55,26673.1
INV000107,1,Assembly Materials,123,893.8,109936.82
INV000108,1,Keyboard and Mouse,6,12013.25,72079.5
INV000109,1,Pens and Stationery,28,128.13,3587.68
INV000110,1,Industrial Bearings,430,188.17,80911.92
INV000111,1,Technical Consulting,41,278.22,11406.82
INV000112,1,Network Switch,9,15641.45,140773.02
INV000113,1,Dell Laptop,5,6285.84,31429.21
INV000114,1,Courier Services,12,1244.12,14929.46
INV000115,1,Technical Consulting,38,2158.22,82012.19
INV000116,1,Legal Advisory,26,3794.31,98652.15
INV000117,1,27 Inch Monitor,3,17795.05,53385.15
INV000118,1,Courier Services,45,625.17,28132.68
INV000119,1,Server Hardware,2,56018.03,112036.05
INV000120,1,Office Chairs,130,34.21,4446.7
INV000121,1,Transportation Charges,43,689.08,29630.24
INV000122,1,Printer Toner,188,16.85,3167.52
INV000123,1,ERP Subscription,28,1526.7,42747.52
INV000124,1,Electrical Repairs,1,9292.83,9292.83
INV000125,1,Industrial Bearings,314,235.86,74058.53
INV000126,1,Warehouse Rental,40,272.3,10891.84
INV000127,1,Server Hardware,4,5242.47,20969.88
INV000128,1,Assembly Materials,441,628.92,277354.29
INV000129,1,Technical Consulting,17,2824.5,48016.54
INV000130,1,Office Desk,18,2867.74,51619.3
INV000131,1,Legal Advisory,21,2764.92,58063.41
INV000132,1,Dell Laptop,10,2621.01,26210.07
INV000133,1,Training Services,6,8253.39,49520.33
INV000134,1,Training Services,33,1798.42,59347.78
INV000135,1,Conference Table,20,1639.57,32791.43
INV000136,1,27 Inch Monitor,6,6776.51,40659.03
INV000137,1,Microsoft 365 License,5,8255.02,41275.11
INV000138,1,Whiteboard Supplies,172,32.94,5665.84
INV000139,1,Steel Components,409,96.91,39637.03
INV000140,1,Audit Services,16,1515.72,24251.47
INV000141,1,Technical Consulting,39,1392.92,54324.02
INV000142,1,Warehouse Rental,6,2516.31,15097.86
INV000143,1,Freight Charges,25,540.87,13521.87
INV000144,1,Industrial Bearings,258,754.87,194756.04
INV000145,1,HVAC Servicing,7,1584.19,11089.33
INV000146,1,27 Inch Monitor,10,11132.24,111322.42
INV000147,1,Hydraulic Pumps,245,1820.36,445987.63
INV000148,1,Legal Advisory,44,1056.78,46498.12
INV000149,1,Database License,17,2099.16,35685.72
INV000150,1,Legal Advisory,29,4476.71,129824.7
INV000151,1,Courier Services,26,1162.24,30218.33
INV000152,1,Office Chairs,186,30.32,5640.06
INV000153,1,Office Desk,20,1432.32,28646.41
INV000154,1,Microsoft 365 License,50,990.6,49530.11
INV000155,1,Transportation Charges,8,3642.6,29140.82
INV000156,1,Courier Services,1,37812.32,37812.32
INV000157,1,Warehouse Rental,31,880.79,27304.56
INV000158,1,Machine Spare Parts,475,257.47,122299.5
INV000159,1,Electrical Repairs,42,238.85,10031.89
INV000160,1,Generator Servicing,13,2016.2,26210.59
INV000161,1,Storage Cabinet,2,15078.3,30156.6
