pair_id,invoice_id_a,invoice_id_b,vendor_id,amount_a,amount_b,amount_diff_pct,issue_date_a,issue_date_b,date_diff_days,either_is_fraud,fraud_category_a,fraud_category_b
DUP-00000,bd5611c8-5d2b-4c58-b4dd-03e30b9d95e2,5a43d9f8-352f-4e5c-8fe7-148f93500ba7,015791db-8177-482a-ac6f-d89147961a26,84415.71,84415.72,0.0,2022-04-26,2022-04-27,1,True,duplicate,duplicate
DUP-00001,ef9f31fd-7841-40f9-8e66-4e06f1423215,e21fc830-d286-49e4-9c6a-0caf49a51827,015791db-8177-482a-ac6f-d89147961a26,51104.59,50792.4,0.006128,2023-11-06,2023-11-07,1,False,clean,clean
DUP-00002,8762be28-91b4-4b9e-ba80-bf7d4a4bc7ea,713911cb-0f57-4d98-8da0-a3b732d12c5b,015791db-8177-482a-ac6f-d89147961a26,43939.18,44155.52,0.004912,2023-12-16,2023-12-19,3,False,clean,clean
DUP-00003,77dae3a0-bffb-4ea5-87d1-552cf49843c3,8e04420f-6f59-411a-8df3-d6510ad1c37d,043fdb45-30f2-41a8-97e0-03483f053847,4228.29,4228.3,2e-06,2024-03-27,2024-03-29,2,True,duplicate,duplicate
DUP-00004,ffe5655e-2b96-43a7-b83b-07e8b70864e2,5578b23f-988c-47cb-8f78-9a2ecf65ca55,043fdb45-30f2-41a8-97e0-03483f053847,4859.44,4812.27,0.009754,2024-03-28,2024-04-03,6,True,clean,threshold_gaming
DUP-00005,d10b67bd-225d-4547-9788-c1497f970348,9c0552bd-b4b4-4670-b16e-c8ce5e709a29,05faa526-1d11-4313-abb7-1f4577140582,817.16,822.36,0.006343,2022-12-21,2022-12-27,6,False,clean,clean
DUP-00006,f1564b41-cb78-4940-ab52-1f4ce31583b8,6f060769-ab50-4a0e-9201-318b58a38fff,06a77eba-34a4-41b6-9fec-152579c84c5c,73360.79,73989.86,0.008538,2024-12-20,2024-12-26,6,False,clean,clean
DUP-00007,6bca34b3-019c-4ced-8448-12370b94ceb7,63af340a-c737-409b-ac37-bf7a15c0e773,0879de42-16e8-4ea2-b324-a7a2c788c585,52690.06,52690.07,0.0,2022-04-11,2022-04-12,1,True,duplicate,duplicate
DUP-00008,21cbb99b-c648-4632-baba-0d7958207307,32fef1ce-8275-42ae-9fd0-85882c379837,0892b3f8-272d-479d-8369-21e1772116cc,2892.6,2920.57,0.009623,2023-10-04,2023-10-04,0,False,clean,clean
DUP-00009,28d12d0e-52a5-4a0b-bba8-0050d6aa52dc,abee504c-1eb4-4a40-b3ff-6884ddf56ba3,0892b3f8-272d-479d-8369-21e1772116cc,2738.41,2754.17,0.005739,2024-05-26,2024-05-29,3,False,clean,clean
DUP-00010,5903daf6-fa22-4b08-96b8-ffd9b1acb553,7eac53be-4291-45b1-9725-e45dd35535c6,0b20eede-e11b-43c6-a052-be4806d4c7b8,98050.45,98877.07,0.008395,2023-03-18,2023-03-20,2,False,clean,clean
DUP-00011,70641624-5ff0-44eb-abf7-430813654fc4,c9cc6743-1212-4a0f-87f6-02d5ae1f85ca,0b619064-3a07-4003-bad7-812dce37d862,2056.18,2056.19,5e-06,2022-01-30,2022-01-31,1,True,duplicate,duplicate
DUP-00012,c62aec24-0e83-450d-a6a0-c400128e0608,7c3a797f-ce90-4457-a5a0-c5c1c16b8bcd,0b619064-3a07-4003-bad7-812dce37d862,2286.91,2286.92,4e-06,2022-03-31,2022-04-02,2,True,duplicate,duplicate
DUP-00013,22786ab9-ca8b-4dc7-9554-6e174e98b1a2,b14abfab-7490-4008-9515-2a70541d4897,0b619064-3a07-4003-bad7-812dce37d862,5011.44,5018.51,0.00141,2023-03-07,2023-03-10,3,False,clean,clean
DUP-00014,91fc3799-9ea2-436f-89c6-02801a5d2bc2,db3d5b77-d754-4c42-b6a2-7d73d8418c82,0b619064-3a07-4003-bad7-812dce37d862,3670.43,3670.42,3e-06,2024-10-20,2024-10-27,7,True,duplicate,duplicate
DUP-00015,b809aec1-e5ed-4a43-af49-e06ec48d636b,8b64b3f4-a06a-4f8f-a03f-5aa944ee66eb,0c6c32c1-865a-4d4f-adee-b1b0dd19caf0,59114.22,59609.63,0.008346,2022-05-09,2022-05-10,1,False,clean,clean
DUP-00016,25b709f8-e8ac-4c53-8fc6-af914b0e1bdc,68116834-9a69-4aa9-9799-df7cf8593a44,0c6c32c1-865a-4d4f-adee-b1b0dd19caf0,64000.0,63429.34,0.008956,2022-07-07,2022-07-09,2,False,soft_anomaly,clean
DUP-00017,21ef9997-ea16-46ba-8a84-a0932512d87b,68eca46c-4caf-42f3-913e-ba9f49e5e0ed,0c6c32c1-865a-4d4f-adee-b1b0dd19caf0,128633.24,128633.25,0.0,2022-10-07,2022-10-13,6,True,duplicate,duplicate
DUP-00018,166f47af-84fe-46a5-808d-31a3fe4e2bb6,37685387-7c25-41cf-a62b-8fe2c39871de,0c6c32c1-865a-4d4f-adee-b1b0dd19caf0,39374.59,39455.3,0.002048,2022-11-26,2022-11-26,0,False,clean,clean
DUP-00019,b7f0fac1-1268-4f9c-8cb1-eaff9ddf4003,1ec5901e-1b4d-45df-826b-1e6cbc59f627,0c6c32c1-865a-4d4f-adee-b1b0dd19caf0,25947.39,26076.83,0.004976,2023-07-05,2023-07-09,4,False,clean,clean
